"File","Path","SHA256","Bytes","Classification"
"AIW_BUILD100_STAGE4A_NO_WORK_GUARD_PROOF_CLEANED_WITH_KEY_PRIVATE_20260705.xml","C:\Users\Shadow\Documents\ai work\AI_WORKER_MASTER\PRIVATE_WITH_KEY\runtime_xml\AIW_BUILD100_STAGE4A_NO_WORK_GUARD_PROOF_CLEANED_WITH_KEY_PRIVATE_20260705.xml","6FB60734D7616A66C1D0E9699A7DA00FA5868E77BEE42AA0A55181C83C217C91","2559509","CANDIDATE / HOLD FOR PHONE RERUN"
"AIW_STAGE4A_PROOF_CLEANED_STATIC_AUDIT_20260705.txt","C:\Users\Shadow\Documents\ai work\AI_WORKER_MASTER\PRIVATE_WITH_KEY\reports\AIW_STAGE4A_PROOF_CLEANED_STATIC_AUDIT_20260705.txt","F40D79D69E48D929E7473E2AFB7C80EE3929A8922CAB04E3E8B4B41774C131CC","897","CANDIDATE / HOLD FOR PHONE RERUN"
"AIW_STAGE4A_PROOF_CLEANED_DEEP_AUDIT_20260705.md","C:\Users\Shadow\Documents\ai work\AI_WORKER_MASTER\PRIVATE_WITH_KEY\reports\AIW_STAGE4A_PROOF_CLEANED_DEEP_AUDIT_20260705.md","445FE00DCEDA2A8FCAFBCBA009F5EAECBF34D48A13B37333CDAB07A3540C4E2C","16173","CANDIDATE / HOLD FOR PHONE RERUN"
"AIW_STAGE4A_PROOF_CLEANED_CHANGE_REPORT_20260705.md","C:\Users\Shadow\Documents\ai work\AI_WORKER_MASTER\PRIVATE_WITH_KEY\reports\AIW_STAGE4A_PROOF_CLEANED_CHANGE_REPORT_20260705.md","54F2EE16607CE37A43762BF07D7C189BF8FF8A6C8E06DA49543014F65FFE15E1","1021","CANDIDATE / HOLD FOR PHONE RERUN"
"AIW_STAGE4A_PROOF_CLEANED_REMAINING_HOLD_LIST_20260705.md","C:\Users\Shadow\Documents\ai work\AI_WORKER_MASTER\PRIVATE_WITH_KEY\reports\AIW_STAGE4A_PROOF_CLEANED_REMAINING_HOLD_LIST_20260705.md","359F5F35D019F21249CAA1DD18044E5621C9520147BC266125476F29FEEF198A","633","CANDIDATE / HOLD FOR PHONE RERUN"
"AIW_STAGE4A_PROOF_CLEANED_PHONE_RERUN_CHECKLIST_20260705.md","C:\Users\Shadow\Documents\ai work\AI_WORKER_MASTER\PRIVATE_WITH_KEY\reports\AIW_STAGE4A_PROOF_CLEANED_PHONE_RERUN_CHECKLIST_20260705.md","5CD492C7EA142C0B4EE1B683336BA045CD5A43A07DA3DCB605F9EA8C844530DF","729","CANDIDATE / HOLD FOR PHONE RERUN"
"AIW_STAGE4A_PROOF_CLEANED_SHA256_INVENTORY_20260705.csv","C:\Users\Shadow\Documents\ai work\AI_WORKER_MASTER\PRIVATE_WITH_KEY\reports\AIW_STAGE4A_PROOF_CLEANED_SHA256_INVENTORY_20260705.csv","7E60E85B5D4C2F7A52BB7F379A1D80B081E34BAA353DAF251205E3493F77C72E","1897","CANDIDATE / HOLD FOR PHONE RERUN"
"runlog_stage4a_no_work_guard_20260705_064126.txt","C:\Users\Shadow\Documents\ai work\AI_WORKER_MASTER\03_PHONE_PROOF\runlog_stage4a_no_work_guard_20260705_064126.txt","2B350E9F206EC8A33C01318F297CFB887124C2EDF8E1CBBDD8984C072112A0A0","331171","CANDIDATE / HOLD FOR PHONE RERUN"
"AIW_STAGE4A_PROCESS_ONLY_RUNLOG_AUDIT_20260705_035023.md","C:\Users\Shadow\Documents\ai work\AI_WORKER_MASTER\03_PHONE_PROOF\AIW_STAGE4A_PROCESS_ONLY_RUNLOG_AUDIT_20260705_035023.md","9B2998AFFF03878DF49AA89C35CF57BF634FCAF8562D626EF155075A5D0F5E67","1843","CANDIDATE / HOLD FOR PHONE RERUN"
"AIW_STAGE4A_NO_WORK_PHONE_PROOF_SUPPLEMENTAL_AUDIT_20260705_0351.md","C:\Users\Shadow\Documents\ai work\AI_WORKER_MASTER\03_PHONE_PROOF\AIW_STAGE4A_NO_WORK_PHONE_PROOF_SUPPLEMENTAL_AUDIT_20260705_0351.md","6F02660D368E125A84495C862AB9285807981D828A81C7F69382E8E00C067099","2122","CANDIDATE / HOLD FOR PHONE RERUN"
"AIW_BUILD100_STAGE4A_PROOF_CLEANED_PRIVATE_WITH_KEY_CANDIDATE_HOLD_20260705.zip","C:\Users\Shadow\Documents\ai work\AI_WORKER_MASTER\04_RELEASE_PACKAGES\AIW_BUILD100_STAGE4A_PROOF_CLEANED_PRIVATE_WITH_KEY_CANDIDATE_HOLD_20260705.zip","2A3A8BB58452FD83FFE4F602619EC82096BDC528071A69BCF7AF1BA0C06A521E","177569","CANDIDATE / HOLD FOR PHONE RERUN"
